Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
499635,HIGHRISE,CONDO,RESIDENTIAL,496,1098,545000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
501767,HIGHRISE,CONDO,RESIDENTIAL,519,1098,570000,2016,20162,LILY POINT,2009,HIGHRISE,CONDO
505108,HIGHRISE,CONDO,RESIDENTIAL,519,1098,570000,2016,20161,LILY POINT,2009,HIGHRISE,CONDO
505285,HIGHRISE,CONDO,RESIDENTIAL,692,1098,760000,2016,20161,LILY POINT,2009,HIGHRISE,CONDO
506388,HIGHRISE,CONDO,RESIDENTIAL,619,1098,680000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
512282,HIGHRISE,CONDO,RESIDENTIAL,483,1098,530000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
512332,HIGHRISE,CONDO,RESIDENTIAL,692,1098,760000,2015,20154,LILY POINT,2009,HIGHRISE,CONDO
518847,HIGHRISE,CONDO,RESIDENTIAL,527,1098,579000,2016,20161,LILY POINT,2009,HIGHRISE,CONDO
523697,HIGHRISE,CONDO,RESIDENTIAL,392,1098,430000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
523724,HIGHRISE,CONDO,RESIDENTIAL,592,1098,650000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
523736,HIGHRISE,CONDO,RESIDENTIAL,483,1098,530000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
523827,HIGHRISE,CONDO,RESIDENTIAL,483,1098,530000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
527247,HIGHRISE,CONDO,RESIDENTIAL,533,1098,585000,2017,20172,LILY POINT,2009,HIGHRISE,CONDO
537370,HIGHRISE,CONDO,RESIDENTIAL,437,1098,480000,2017,20171,LILY POINT,2009,HIGHRISE,CONDO
537442,HIGHRISE,CONDO,RESIDENTIAL,556,1098,610000,2016,20163,LILY POINT,2009,HIGHRISE,CONDO
